id,code,name,p_code,p_name,level,level2_type,level3_type
1,110000,北京市,,,1,,
2,110101,东城区,110000,北京市,3,1,5
3,110102,西城区,110000,北京市,3,1,6
4,110105,朝阳区,110000,北京市,3,1,6
5,110106,丰台区,110000,北京市,3,1,6
6,110107,石景山区,110000,北京市,3,1,6
7,110108,海淀区,110000,北京市,3,1,6
8,110109,门头沟区,110000,北京市,3,1,6
9,110111,房山区,110000,北京市,3,1,6
10,110112,通州区,110000,北京市,3,1,6
11,110113,顺义区,110000,北京市,3,1,6
12,110114,昌平区,110000,北京市,3,1,6
13,110115,大兴区,110000,北京市,3,1,6
14,110116,怀柔区,110000,北京市,3,1,6
15,110117,平谷区,110000,北京市,3,1,6
16,110118,密云区,110000,北京市,3,1,6
17,110119,延庆区,110000,北京市,3,1,6
18,120000,天津市,,,1,,
19,120101,和平区,120000,天津市,3,1,5
20,120102,河东区,120000,天津市,3,1,6
21,120103,河西区,120000,天津市,3,1,6
22,120104,南开区,120000,天津市,3,1,6
23,120105,河北区,120000,天津市,3,1,6
24,120106,红桥区,120000,天津市,3,1,6
25,120110,东丽区,120000,天津市,3,1,6
26,120111,西青区,120000,天津市,3,1,6
27,120112,津南区,120000,天津市,3,1,6
28,120113,北辰区,120000,天津市,3,1,6
29,120114,武清区,120000,天津市,3,1,6
30,120115,宝坻区,120000,天津市,3,1,6
31,120116,滨海新区,120000,天津市,3,1,6
32,120117,宁河区,120000,天津市,3,1,6
33,120118,静海区,120000,天津市,3,1,6
34,120119,蓟州区,120000,天津市,3,1,6
35,130000,河北省,,,1,,
36,130100,石家庄市,130000,河北省,2,1,
37,130102,长安区,130100,石家庄市,3,1,6
38,130104,桥西区,130100,石家庄市,3,1,6
39,130105,新华区,130100,石家庄市,3,1,6
40,130107,井陉矿区,130100,石家庄市,3,1,6
41,130108,裕华区,130100,石家庄市,3,1,6
42,130109,藁城区,130100,石家庄市,3,1,6
43,130110,鹿泉区,130100,石家庄市,3,1,6
44,130111,栾城区,130100,石家庄市,3,1,6
45,130121,井陉县,130100,石家庄市,3,1,7
46,130123,正定县,130100,石家庄市,3,1,7
47,130125,行唐县,130100,石家庄市,3,1,7
48,130126,灵寿县,130100,石家庄市,3,1,7
49,130127,高邑县,130100,石家庄市,3,1,7
50,130128,深泽县,130100,石家庄市,3,1,7
51,130129,赞皇县,130100,石家庄市,3,1,7
52,130130,无极县,130100,石家庄市,3,1,7
53,130131,平山县,130100,石家庄市,3,1,7
54,130132,元氏县,130100,石家庄市,3,1,7
55,130133,赵县,130100,石家庄市,3,1,7
56,130181,辛集市,130100,石家庄市,3,1,8
57,130183,晋州市,130100,石家庄市,3,1,8
58,130184,新乐市,130100,石家庄市,3,1,8
59,130200,唐山市,130000,河北省,2,1,
60,130202,路南区,130200,唐山市,3,1,6
61,130203,路北区,130200,唐山市,3,1,6
62,130204,古冶区,130200,唐山市,3,1,6
63,130205,开平区,130200,唐山市,3,1,6
64,130207,丰南区,130200,唐山市,3,1,6
65,130208,丰润区,130200,唐山市,3,1,6
66,130209,曹妃甸区,130200,唐山市,3,1,6
67,130224,滦南县,130200,唐山市,3,1,7
68,130225,乐亭县,130200,唐山市,3,1,7
69,130227,迁西县,130200,唐山市,3,1,7
70,130229,玉田县,130200,唐山市,3,1,7
71,130281,遵化市,130200,唐山市,3,1,8
72,130283,迁安市,130200,唐山市,3,1,8
73,130284,滦州市,130200,唐山市,3,1,8
74,130300,秦皇岛市,130000,河北省,2,2,
75,130302,海港区,130300,秦皇岛市,3,2,6
76,130303,山海关区,130300,秦皇岛市,3,2,6
77,130304,北戴河区,130300,秦皇岛市,3,2,6
78,130306,抚宁区,130300,秦皇岛市,3,2,6
79,130321,青龙满族自治县,130300,秦皇岛市,3,2,7
80,130322,昌黎县,130300,秦皇岛市,3,2,7
81,130324,卢龙县,130300,秦皇岛市,3,2,7
82,130400,邯郸市,130000,河北省,2,2,
83,130402,邯山区,130400,邯郸市,3,2,6
84,130403,丛台区,130400,邯郸市,3,2,6
85,130404,复兴区,130400,邯郸市,3,2,6
86,130406,峰峰矿区,130400,邯郸市,3,2,6
87,130407,肥乡区,130400,邯郸市,3,2,6
88,130408,永年区,130400,邯郸市,3,2,6
89,130423,临漳县,130400,邯郸市,3,2,7
